Date,Time,Open,High,Low,Close,Volume
2009.05.26,0:00,1.4015,1.4021,1.386,1.3983,32168
2009.05.27,0:00,1.3981,1.4,1.3823,1.3824,32691
2009.05.28,0:00,1.3823,1.3983,1.3792,1.394,27315
2009.05.29,0:00,1.394,1.4168,1.3925,1.4153,24838
2009.06.01,0:00,1.4153,1.4246,1.4099,1.4158,24272
2009.06.02,0:00,1.4159,1.4331,1.4101,1.4303,36316
2009.06.03,0:00,1.4303,1.4339,1.411,1.4163,39528
2009.06.04,0:00,1.4162,1.4241,1.407,1.4183,38526
2009.06.05,0:00,1.4182,1.4264,1.3932,1.3965,34628
2009.06.08,0:00,1.3967,1.4001,1.3805,1.3898,33688
2009.06.09,0:00,1.3897,1.4101,1.3852,1.4063,32658
2009.06.10,0:00,1.4062,1.4143,1.3915,1.3983,27173
2009.06.11,0:00,1.398,1.4178,1.3943,1.4107,34218
2009.06.12,0:00,1.4107,1.4128,1.3935,1.4014,32018
2009.06.15,0:00,1.3992,1.4001,1.3755,1.3803,23850
2009.06.16,0:00,1.3803,1.3933,1.3748,1.3836,28674
2009.06.17,0:00,1.3835,1.3985,1.3806,1.3941,35810
2009.06.18,0:00,1.3941,1.4001,1.3871,1.3902,27309
2009.06.19,0:00,1.3898,1.4012,1.3882,1.3936,27155
2009.06.22,0:00,1.3946,1.3955,1.3826,1.3864,21420
2009.06.23,0:00,1.3865,1.4108,1.3828,1.4076,24848
2009.06.24,0:00,1.4075,1.4138,1.3888,1.3928,27020
2009.06.25,0:00,1.3928,1.4013,1.3889,1.3986,21506
2009.06.26,0:00,1.3985,1.4118,1.3981,1.4055,20213
2009.06.29,0:00,1.4064,1.4103,1.3983,1.4081,18199
2009.06.30,0:00,1.4082,1.4153,1.4001,1.4032,21522
2009.07.01,0:00,1.4031,1.42,1.4,1.414,32695
2009.07.02,0:00,1.4141,1.4153,1.3987,1.4001,34594
2009.07.03,0:00,1.4002,1.4027,1.3928,1.3976,19846
2009.07.06,0:00,1.3978,1.3997,1.3875,1.3982,28329
2009.07.07,0:00,1.3981,1.4049,1.3903,1.3923,31364
2009.07.08,0:00,1.3923,1.3936,1.3832,1.3882,34539
2009.07.09,0:00,1.3881,1.4073,1.3857,1.4018,34355
2009.07.10,0:00,1.4019,1.4029,1.3878,1.3934,31345
2009.07.13,0:00,1.3945,1.4001,1.3896,1.3976,82647
2009.07.14,0:00,1.3976,1.4014,1.3911,1.3965,92236
2009.07.15,0:00,1.3966,1.4135,1.3962,1.4105,79907
2009.07.16,0:00,1.4106,1.4165,1.4055,1.4147,88655
2009.07.17,0:00,1.4146,1.4149,1.4062,1.4099,75899
2009.07.20,0:00,1.4099,1.4249,1.4094,1.423,73910
2009.07.21,0:00,1.423,1.4276,1.4163,1.4224,79984
2009.07.22,0:00,1.4223,1.4257,1.4155,1.4219,77665
2009.07.23,0:00,1.4219,1.429,1.4118,1.4141,88843
2009.07.24,0:00,1.4142,1.4253,1.4134,1.4201,69659
2009.07.27,0:00,1.4224,1.4297,1.4171,1.4228,64218
2009.07.28,0:00,1.4229,1.4303,1.413,1.4166,77405
2009.07.29,0:00,1.4166,1.4195,1.4006,1.4043,92154
2009.07.30,0:00,1.4044,1.4095,1.4008,1.4074,87957
2009.07.31,0:00,1.4074,1.4278,1.4063,1.4255,93688
2009.08.03,0:00,1.4264,1.4445,1.4206,1.4413,110416
2009.08.04,0:00,1.4412,1.4431,1.4367,1.4406,91292
2009.08.05,0:00,1.4406,1.4446,1.4355,1.4403,91658
2009.08.06,0:00,1.4402,1.4431,1.4328,1.4344,91530
2009.08.07,0:00,1.4345,1.4413,1.4153,1.4182,85649
2009.08.10,0:00,1.418,1.4217,1.4104,1.4139,64304
2009.08.11,0:00,1.4138,1.4184,1.4109,1.4147,73698
2009.08.12,0:00,1.4146,1.4246,1.4086,1.418,93725
2009.08.13,0:00,1.4181,1.4326,1.418,1.429,89332
2009.08.14,0:00,1.4289,1.4306,1.4159,1.42,76013
2009.08.17,0:00,1.4185,1.4193,1.4045,1.4081,82779
2009.08.18,0:00,1.4081,1.4154,1.4066,1.4134,83864
2009.08.19,0:00,1.4135,1.4266,1.4084,1.4222,84772
2009.08.20,0:00,1.4222,1.4275,1.42,1.4252,76504
2009.08.21,0:00,1.4252,1.4376,1.4208,1.4324,82895
2009.08.24,0:00,1.4331,1.4358,1.428,1.4301,59979
2009.08.25,0:00,1.43,1.4361,1.4252,1.4296,72634
2009.08.26,0:00,1.4295,1.4349,1.4206,1.4254,75487
2009.08.27,0:00,1.4253,1.4406,1.4219,1.4339,75710
2009.08.28,0:00,1.434,1.4388,1.4281,1.4301,71184
2009.08.31,0:00,1.4309,1.4367,1.4255,1.4333,73644
2009.09.01,0:00,1.4332,1.4378,1.4175,1.4222,290276
2009.09.02,0:00,1.4222,1.4294,1.4189,1.4262,306757
2009.09.03,0:00,1.4262,1.4347,1.4235,1.425,280522
2009.09.04,0:00,1.425,1.4327,1.4191,1.4293,251870
2009.09.07,0:00,1.43,1.4362,1.4298,1.4331,152577
2009.09.08,0:00,1.4331,1.4534,1.4328,1.4476,297096
2009.09.09,0:00,1.4476,1.4599,1.4466,1.4555,281624
2009.09.10,0:00,1.4554,1.4613,1.4501,1.458,281765
2009.09.11,0:00,1.4581,1.4635,1.4552,1.457,273021
2009.09.14,0:00,1.4598,1.4653,1.4515,1.4617,288851
2009.09.15,0:00,1.4617,1.4686,1.4559,1.4659,300843
2009.09.16,0:00,1.4659,1.4737,1.4641,1.4709,308627
2009.09.17,0:00,1.4708,1.4767,1.4688,1.474,297430
2009.09.18,0:00,1.4739,1.4747,1.4647,1.4711,282687
2009.09.21,0:00,1.4706,1.4713,1.461,1.4677,267580
2009.09.22,0:00,1.4678,1.4822,1.4669,1.4791,265108
2009.09.23,0:00,1.479,1.4844,1.4726,1.4732,306758
2009.09.24,0:00,1.4733,1.4803,1.4626,1.4664,345033
2009.09.25,0:00,1.4664,1.4723,1.4613,1.4684,329678
